car_name,manufacture,ownership,transmission,fuel_type,engine,kms_driven,Seats,car_prices
Hyundai,2014,1st Ownership,Automatic,Diesel,4 cyl,183550, 8 Seats,19888
Toyota,2014,1st Ownership,Automatic,Unleaded,4 cyl,191748, 5 Seats,8995
Toyota,2016,1st Ownership,Automatic,Unleaded,6 cyl,139637, 7 Seats,31900
Mitsubishi,2013,1st Ownership,Automatic,Unleaded,4 cyl,165306, 5 Seats,14995
Subaru,2016,1st Ownership,Automatic,Unleaded,4 cyl,104887, 5 Seats,22990
Mini,2017,1st Ownership,Automatic,Premium,4 cyl,72501, 5 Seats,31990
Peugeot,2015,1st Ownership,Automatic,Unleaded,-,167127,,12999
Holden,2010,1st Ownership,Manual,Unleaded,8 cyl,169220, 2 Seats,25999
Hyundai,2015,1st Ownership,Automatic,Unleaded,4 cyl,111783, 5 Seats,13990
Mazda,2018,1st Ownership,Automatic,Diesel,5 cyl,97460, 5 Seats,30990
Mazda,2009,1st Ownership,Automatic,Unleaded,4 cyl,178389, 5 Seats,8499
Hyundai,2011,1st Ownership,Automatic,Unleaded,4 cyl,188262, 5 Seats,10995
Honda,2015,1st Ownership,Automatic,Unleaded,-,71059,,24888
Mazda,2010,1st Ownership,Automatic,Unleaded,4 cyl,152831, 5 Seats,11669
Jeep,2017,1st Ownership,Automatic,Premium,4 cyl,69218, 5 Seats,24950
Mazda,2013,1st Ownership,Automatic,Unleaded,4 cyl,124093, 5 Seats,16990
Nissan,2009,1st Ownership,Automatic,Unleaded,-,103090,,19995
Kia,2013,1st Ownership,Automatic,Unleaded,6 cyl,98672, 8 Seats,13995
Mitsubishi,2015,1st Ownership,Automatic,Unleaded,4 cyl,61481, 5 Seats,17995
Subaru,2018,1st Ownership,Automatic,Unleaded,4 cyl,61177, 5 Seats,22990
Mazda,2014,1st Ownership,Automatic,Unleaded,4 cyl,132648, 5 Seats,16999
BMW,2021,1st Ownership,Automatic,Unleaded,4 cyl,31367, 5 Seats,79988
Mazda,2010,1st Ownership,Automatic,Unleaded,4 cyl,174818, 5 Seats,12800
Audi,2015,1st Ownership,Automatic,Premium,4 cyl,115334, 4 Seats,26880
BMW,2014,1st Ownership,Automatic,Premium,4 cyl,57000, 5 Seats,16990
Mercedes-Benz,2012,1st Ownership,Automatic,Unleaded,-,162775,,16999
Toyota,2013,1st Ownership,Automatic,Diesel,-,191173,,30900
Subaru,2007,1st Ownership,Manual,Unleaded,-,146077,,34888
Audi,2014,1st Ownership,Automatic,Diesel,8 cyl,199941, 7 Seats,28999
Suzuki,2015,1st Ownership,Automatic,Unleaded,3 cyl,23316, 4 Seats,13880
Subaru,2016,1st Ownership,Automatic,Premium,6 cyl,226127, 5 Seats,17950
Toyota,2019,1st Ownership,Manual,Premium,4 cyl,58185, 5 Seats,33888
Subaru,2021,1st Ownership,Automatic,Unleaded,4 cyl,16136, 5 Seats,39990
Mazda,2015,1st Ownership,Automatic,Unleaded,4 cyl,31531, 5 Seats,23950
Jeep,2018,1st Ownership,Automatic,Diesel,6 cyl,76472, 5 Seats,41950
Hyundai,2018,1st Ownership,Automatic,Unleaded,4 cyl,62719, 5 Seats,21999
Nissan,2020,1st Ownership,Automatic,Unleaded,4 cyl,52035, 5 Seats,27990
Honda,2010,1st Ownership,Automatic,Unleaded,4 cyl,146445, 5 Seats,8950
Honda,2020,1st Ownership,Automatic,Unleaded,4 cyl,35214, 7 Seats,37880
Holden,2014,1st Ownership,Manual,Unleaded,4 cyl,163000, 5 Seats,7950
Jeep,2013,1st Ownership,Automatic,Premium,6 cyl,69001, 5 Seats,24990
Toyota,2007,1st Ownership,Automatic,Unleaded,4 cyl,106718, 5 Seats,14999
Holden,2016,1st Ownership,Automatic,Unleaded,6 cyl,59689, 5 Seats,22999
Mercedes-Benz,2010,1st Ownership,Automatic,Premium,4 cyl,177834, 4 Seats,7999
Dodge,2012,1st Ownership,Automatic,Unleaded,-,147589,,10999
Mazda,2013,1st Ownership,Automatic,Unleaded,4 cyl,105767, 5 Seats,19999
Volkswagen,2018,1st Ownership,Automatic,Premium,4 cyl,87293, 2 Seats,30999
Honda,2013,1st Ownership,Automatic,Unleaded,4 cyl,154347, 5 Seats,15990
Jeep,2021,1st Ownership,Automatic,Unleaded,4 cyl,20827, 5 Seats,32888
Toyota,2008,1st Ownership,Automatic,Unleaded,-,112980,,31900
Mazda,2014,1st Ownership,Automatic,Petrol,-,97745,,22999
Toyota,2010,1st Ownership,Automatic,Unleaded,4 cyl,147626, 5 Seats,10995
Jeep,2014,1st Ownership,Automatic,Diesel,6 cyl,114424, 5 Seats,29990
Mazda,2009,1st Ownership,Manual,Unleaded,4 cyl,153020, 5 Seats,13950
Ford,2016,1st Ownership,Automatic,Diesel,5 cyl,98700, 5 Seats,36999
Holden,2011,1st Ownership,Automatic,Diesel,-,183924,,9990
Toyota,2013,1st Ownership,Automatic,Premium,4 cyl,103706, 4 Seats,24990
Volkswagen,2013,1st Ownership,Automatic,Premium,4 cyl,126532, 5 Seats,13990
Mitsubishi,2013,1st Ownership,Automatic,Unleaded,4 cyl,73421, 5 Seats,16990
Toyota,2009,1st Ownership,Automatic,Unleaded,4 cyl,155135, 5 Seats,10995
Hyundai,2013,1st Ownership,Automatic,Unleaded,4 cyl,123330, 5 Seats,12990
Mitsubishi,2014,1st Ownership,Automatic,Unleaded,4 cyl,44249, 5 Seats,18990
Mazda,2018,1st Ownership,Automatic,Unleaded,4 cyl,27100, 5 Seats,23999
Mazda,2009,1st Ownership,Automatic,Unleaded,4 cyl,70661, 5 Seats,14995
Mitsubishi,2014,1st Ownership,Automatic,Diesel,4 cyl,215100, 5 Seats,18995
Volkswagen,2014,1st Ownership,Automatic,Premium,4 cyl,155036, 5 Seats,14990
BMW,2012,1st Ownership,Automatic,Premium,6 cyl,67678, 5 Seats,29950
Holden,2015,1st Ownership,Automatic,Unleaded,6 cyl,133934, 5 Seats,22999
Volkswagen,2008,1st Ownership,Automatic,Premium,4 cyl,174915, 5 Seats,14990
Holden,2014,1st Ownership,Automatic,Unleaded,4 cyl,117000, 5 Seats,7888
Hyundai,2018,1st Ownership,Automatic,Diesel,4 cyl,190176, 8 Seats,27990
Mitsubishi,2013,1st Ownership,Manual,Diesel,4 cyl,231675, 5 Seats,19800
BMW,2021,1st Ownership,Automatic,Premium,4 cyl,23332, 5 Seats,67988
Volkswagen,2018,1st Ownership,Automatic,Premium,4 cyl,130647, 5 Seats,21880
Audi,2019,1st Ownership,Automatic,Premium,4 cyl,47307, 5 Seats,41888
Nissan,2005,1st Ownership,Automatic,Unleaded,-,69619,,17900
Toyota,2009,1st Ownership,Automatic,Unleaded,-,128647,,18900
Subaru,2016,1st Ownership,Automatic,Premium,4 cyl,74983, 5 Seats,29990
Mazda,2007,1st Ownership,Manual,Premium,4 cyl,102496, 5 Seats,7920
Hyundai,2015,1st Ownership,Automatic,Unleaded,4 cyl,84924, 5 Seats,14999
Land,2013,1st Ownership,Automatic,Diesel,6 cyl,159558, 5 Seats,38950
Mercedes-Benz,2014,1st Ownership,Automatic,Premium,-,98296,,16999
Ford,2013,1st Ownership,Automatic,Unleaded,4 cyl,67590, 5 Seats,12990
Kia,2017,1st Ownership,Automatic,Unleaded,4 cyl,65502, 5 Seats,29990
Porsche,2010,1st Ownership,Automatic,Premium,8 cyl,193271, 5 Seats,29990
Porsche,2016,1st Ownership,Manual,Premium,6 cyl,23481, 2 Seats,214880
Ford,2007,1st Ownership,Automatic,Unleaded,6 cyl,173839, 5 Seats,8950
Suzuki,2017,1st Ownership,Automatic,Premium,-,55794,,26280
Nissan,2016,1st Ownership,Automatic,Diesel,4 cyl,258936, 5 Seats,21290
Toyota,2009,1st Ownership,Automatic,Unleaded,-,106208,,22900
Daihatsu,2019,1st Ownership,-,Petrol,-,19730,,33888
Toyota,2013,1st Ownership,Automatic,Diesel,4 cyl,292134, 5 Seats,14995
Toyota,2008,1st Ownership,Automatic,Diesel,4 cyl,251000, 5 Seats,21290
Mazda,2014,1st Ownership,Automatic,Unleaded,4 cyl,130242, 5 Seats,16388
